TubeName,TubeType,BaselineNoise,BLNperNOS,PeakWidth,Cost,DiameterOuter,MOEO,DiameterInner,MOEI,Concentricity,Camber,Frequency,ThicknessWall,SN,SNperNOS,Quality,TubeTypeNum,Scans
A1,A,36.4680433,3.223350089,2.64,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,1211.17,107.053315,6.582537235,1,128
A2,A,35.26389115,3.11691707,3.2,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,1105.38,97.70271172,3.373352051,1,128
A3,A,30.47505455,2.693639716,4.13,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,1081.56,95.59730128,1.535325497,1,128
A1-2,A,16.01047853,2.830279485,2.01,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,264.35,46.7309194,3.255300932,1,32
A2-2,A,19.19688481,3.393561858,2.08,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,235.62,41.65212495,2.618316525,1,32
A3-2,A,16.60240089,2.934917563,1.97,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,261.57,46.23948019,3.421285005,1,32
B1,B,33.71613688,2.980113628,2.69,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,1200.79,106.135844,6.168935401,2,128
B2,B,34.93556244,3.087896638,2.29,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,1354.8,119.7485334,11.28154918,2,128
B3,B,32.65853004,2.886633507,2.42,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,1491.2,131.804704,10.52179406,2,128
B1-2,B,15.32175375,2.708528994,1.98,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,285.56,50.48035311,3.678762938,2,32
B2-2,B,14.0388449,2.481740607,1.9,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,429.4,75.90791296,6.260387812,2,32
B3-2,B,13.73613108,2.428227858,1.9,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,368.63,65.16519319,5.3743986,2,32
C1,C,37.04691447,3.274515555,3.1,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1108.4,97.96964453,3.720586754,3,128
C2,C,34.08805962,3.012987264,2.38,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1486.72,131.4087242,11.02803949,3,128
C3,C,32.498924,2.872526193,2.99,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1115.24,98.57422083,4.172100609,3,128
C1-2,C,17.84096948,3.153867625,2.01,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,278.5,49.23230964,3.429549118,3,32
C2-2,C,18.21864897,3.220632558,2.23,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1119.74,197.9439368,10.09723824,3,32
C3-2,C,17.40816327,3.077357573,2.1,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,272.44,48.16104287,2.941798942,3,32
D1,D,34.15334133,3.018757407,3.14,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,1008.73,89.15997792,3.258261921,4,128
D2,D,36.13991488,3.19434736,3.06,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,965.73,85.35927897,3.370477586,4,128
D3,D,33.59758767,2.969635259,2.98,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,1028.05,90.8676408,3.884771198,4,128
D1-2,D,13.3421153,2.358575051,1.86,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,340.85,60.25433659,5.29693283,4,32
D2-2,D,16.68475149,2.949475231,1.92,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,289.93,51.25286727,4.096278438,4,32
D3-2,D,16.08755553,2.843904901,1.8,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,310.66,54.91744816,5.326817558,4,32
E1,E,31.66978646,2.799240096,3.34,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1073.79,94.91052382,2.881906952,5,128
E2,E,38.48044275,3.401222751,2.37,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1230.49,108.7609779,9.243427742,5,128
E3,E,37.21102913,3.289021379,2.36,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1287.5,113.7999976,9.795153107,5,128
E1-2,E,15.48779408,2.737881055,1.89,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,316.24,55.90386212,4.684156416,5,32
E2-2,E,15.92427567,2.815040829,2.09,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,314.43,55.5838963,3.444174265,5,32
E3-2,E,17.68039592,3.125481963,1.95,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,275.81,48.75678033,3.719685092,5,32
F1,F,39.9242558,3.528839001,2.23,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1246.3,110.1583977,11.2384911,6,128
F2,F,33.79212299,2.986829915,2.96,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1114.89,98.54328491,4.298895487,6,128
F3,F,34.36776692,3.03771013,2.36,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1402.41,123.9567026,10.66937528,6,128
F1-2,F,16.80569747,2.97085566,1.95,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,295.57,52.24988783,3.986176436,6,32
F2-2,F,18.15906854,3.210100126,2.12,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,325.08,57.46656811,3.411792957,6,32
F3-2,F,14.4832701,2.560304626,1.95,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,350.57,61.97260607,4.727928657,6,32