Tube Name,Baseline Noise,Peak width of acetone,Cost Per Tube £,Diameter Outer (mm),Margin of error of outer diameter ,Diameter Inner (mm),Margin of error of inner diameter ± ,Concentricity (mm),Camber (mm),Frequency MHz,Thickness (Metric) wall mm,Signal to noise
A1,36.4680433,2.64,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,1211.17
A2,35.26389115,3.2,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,1105.38
A3,30.47505455,4.13,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,1081.56
B1,33.71613688,2.69,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,1200.79
B2,34.93556244,2.29,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,1354.8
B3,32.65853004,2.42,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,1491.2
C1,37.04691447,3.1,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1108.4
C2,34.08805962,2.38,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1486.72
C3,32.498924,2.99,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,1115.24
D1,34.15334133,3.14,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,1008.73
D2,36.13991488,3.06,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,965.73
D3,33.59758767,2.98,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,1028.05
E1,31.66978646,3.34,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1073.79
E2,38.48044275,2.37,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1230.49
E3,37.21102913,2.36,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1287.5
F1,39.9242558,2.23,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1246.3
F2,33.79212299,2.96,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1114.89
F3,34.36776692,2.36,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,1402.41